2001:300::,2001:300:ffff:ffff:ffff:ffff:ffff:ffff,2497,Internet Initiative Japan Inc.
2001:308::,2001:308:ffff:ffff:ffff:ffff:ffff:ffff,7668,Hokuriku Telecommunication Network Co.
2001:310::,2001:310:ffff:ffff:ffff:ffff:ffff:ffff,4694,IDC Frontier Inc.
2001:318::,2001:318:ffff:ffff:ffff:ffff:ffff:ffff,7522,"STNet, Incorporated"
2001:320::,2001:320:236:ffff:ffff:ffff:ffff:ffff,1237,KISTI
2001:320:237::,2001:320:237:ffff:ffff:ffff:ffff:ffff,152671,SPARCS
2001:320:238::,2001:320:ffff:ffff:ffff:ffff:ffff:ffff,1237,KISTI
2001:330::,2001:330:ffff:ffff:ffff:ffff:ffff:ffff,6619,SamsungSDS Inc.
2001:338::,2001:338:ffff:ffff:ffff:ffff:ffff:ffff,4675,"UNIADEX, LTD."
2001:340::,2001:340:ffff:ffff:ffff:ffff:ffff:ffff,4678,Canon IT Solutions Inc.
2001:348::,2001:348:ffff:ffff:ffff:ffff:ffff:ffff,7679,"QTnet,Inc."
2001:350::,2001:350:ffff:ffff:ffff:ffff:ffff:ffff,7671,NTT SmartConnect Corporation
2001:358::,2001:358:ffff:ffff:ffff:ffff:ffff:ffff,4680,Mitsubishi Electric Information Network Corporation
2001:360:13::,2001:360:15:ffff:ffff:ffff:ffff:ffff,135887,Telstra Limited
2001:360:3000::,2001:360:3fff:ffff:ffff:ffff:ffff:ffff,135887,Telstra Limited
2001:370::,2001:370:ffff:ffff:ffff:ffff:ffff:ffff,9607,"BroadBand Tower, Inc."
2001:378::,2001:378:ffff:ffff:ffff:ffff:ffff:ffff,9318,SK Broadband Co Ltd
2001:380::,2001:380:ffff:ffff:ffff:ffff:ffff:ffff,4713,NTT Communications Corporation
2001:388::,2001:388:ffff:ffff:ffff:ffff:ffff:ffff,7575,Australian Academic and Research Network
2001:398::,2001:398:ffff:ffff:ffff:ffff:ffff:ffff,7682,"HOKKAIDO TELECOMMUNICATIONS NETWORK Co., Inc."
2001:3a0::,2001:3a0:ffff:ffff:ffff:ffff:ffff:ffff,7521,INTERNET MULTIFEED CO.
2001:3a8::,2001:3a8:8eff:ffff:ffff:ffff:ffff:ffff,9848,SEJONG NETWORKS
2001:3a8:8f00::,2001:3a8:8f00:ffff:ffff:ffff:ffff:ffff,214432,"Zhilian Technology CO., LTD."
2001:3a8:8f01::,2001:3a8:ffff:ffff:ffff:ffff:ffff:ffff,9848,SEJONG NETWORKS
2001:3b0::,2001:3b0:ffff:ffff:ffff:ffff:ffff:ffff,17529,"STARCAT Co .,LTD."
2001:3b8::,2001:3b8:ffff:ffff:ffff:ffff:ffff:ffff,2527,Sony Network Communications Inc.
2001:3c0::,2001:3c0:1fff:ffff:ffff:ffff:ffff:ffff,7516,"TOHKnet Co.,Inc."
2001:3c8::,2001:3c8:242:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:243::,2001:3c8:243:ffff:ffff:ffff:ffff:ffff,138685,Mahidol Wittayanusorn School
2001:3c8:244::,2001:3c8:1201:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:1202::,2001:3c8:1202:ffff:ffff:ffff:ffff:ffff,4762,"Mahidol University, Thailand"
2001:3c8:1203::,2001:3c8:1302:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:1303::,2001:3c8:1303:ffff:ffff:ffff:ffff:ffff,9411,Kasetsart University
2001:3c8:1304::,2001:3c8:1305:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:1306::,2001:3c8:1306:ffff:ffff:ffff:ffff:ffff,137198,Phranakorn Rajabhat University
2001:3c8:1307::,2001:3c8:1400:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:1401::,2001:3c8:1401:ffff:ffff:ffff:ffff:ffff,3839,Chulalongkorn University
2001:3c8:1402::,2001:3c8:1407:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:1408::,2001:3c8:1408:ffff:ffff:ffff:ffff:ffff,137261,Education Network
2001:3c8:1409::,2001:3c8:1605:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:1606::,2001:3c8:1606:ffff:ffff:ffff:ffff:ffff,4762,"Mahidol University, Thailand"
2001:3c8:1607::,2001:3c8:2706:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:2707::,2001:3c8:2707:ffff:ffff:ffff:ffff:ffff,4762,"Mahidol University, Thailand"
2001:3c8:2708::,2001:3c8:9008:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:9009::,2001:3c8:9009:ffff:ffff:ffff:ffff:ffff,9464,Prince of Songkla University
2001:3c8:900a::,2001:3c8:a700:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:a701::,2001:3c8:a701:ffff:ffff:ffff:ffff:ffff,9562,Mahasarakham University
2001:3c8:a702::,2001:3c8:a702:ffff:ffff:ffff:ffff:ffff,132879,Rajabhat Mahasarakham University
2001:3c8:a703::,2001:3c8:c300:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:c301::,2001:3c8:c301:ffff:ffff:ffff:ffff:ffff,55545,Suranaree University of Technology
2001:3c8:c302::,2001:3c8:cb00:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:cb01::,2001:3c8:cb01:ffff:ffff:ffff:ffff:ffff,136624,Sakon Nakhon Rajabhat University
2001:3c8:cb02::,2001:3c8:d108:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:d109::,2001:3c8:d109:ffff:ffff:ffff:ffff:ffff,138547,Ubon Ratchathani Rajabhat University
